code2,roe,altfin,altfin_gdp
AE,-2.83,68995168,.00019742631
AF,2.785,21257.156,1.0652051e-06
AL,8.863333333333332,60788636,.003988374
AM,4.6765,128988792,.010203438
AR,6.760555555555554,85425112,.00022145746
AT,4.178185840707964,52661416,.00012122861
AU,3.777282608695651,1162075776,.00087478431
BA,4.325925925925926,310968.47,.000015374662
BB,11.36333333333334,10615.22,2.0538916e-06
BD,8.438709677419357,5882771,.000015730198
BE,7.29655172413793,75779072,.00014306186
BF,16.4275,1109146.8,.000062575236
BG,8.792631578947368,53326372,.00075408327
BI,26.078,29905.41,.000011286422
BJ,9.455,7547.0635,4.8219289e-07
BM,-.9969230769230765,1378.3717,2.0013682e-07
BO,4.556818181818182,3403113.3,.00009290548
BR,8.309504373177834,3614017536,.0024483434
BS,5.318750000000001,36452.48,3.6605491e-06
BT,-1.045,609.72998,2.4809933e-07
BW,9.555714285714286,21814708,.0014581741
BY,8.350000000000001,15334185,.00024985737
BZ,4.070833333333334,89538.508,.00004383019
CA,5.773714285714288,340818720,.00020584759
CD,2.391666666666667,4457112.5,.00009148995
CG,13.455,80.044571,6.9794011e-09
CH,6.062368421052632,86220200,.00011619982
CI,13.82285714285714,173793.03,2.7574006e-06
CL,10.27194444444444,971443840,.0038239474
CM,11.308,274506.34,6.7325122e-06
CN,6.498191489361703,1161180288,.000079057769
CO,4.360416666666667,524444224,.0019398832
CR,6.075098039215686,74160200,.0011885484
CU,20.18,4932.3896,4.5946035e-08
CW,1.536,5121.0498,2.0206739e-06
CY,5.343666666666667,2116782.3,.000082832106
CZ,8.925333333333333,139398064,.00055512827
DE,2.519627329192548,1529383168,.00038815427
DK,4.68153846153846,71506376,.00020106901
DM,21.02,225,4.4623837e-07
DO,5.379019607843138,34347116,.00043563024
DZ,11.97692307692308,74818.344,4.5379264e-07
EC,1.183880903490759,8356990,.000087174136
EE,5.885555555555555,153942624,.0048378031
EG,11.78774193548387,26199592,.000068260488
ES,2.074273504273505,686875648,.00053255097
ET,17.45705882352941,21608.59,2.0071563e-07
FI,3.431223021582734,395334912,.0014642017
FJ,7.123333333333334,550445,.00012418482
FR,4.317384105960264,1830477312,.00069128716
GB,3.317436708860761,13425077248,.0049781906
GE,1.913529411764706,17913880,.0011188574
GH,11.21625,528521152,.0075456561
GM,16.7675,6374.5913,3.5176547e-06
GN,26.625,32483.752,2.3056609e-06
GR,-3.991818181818182,12448799,.000065053326
GT,13.15129032258065,6646106.5,.000085514053
HK,7.377222222222222,511646080,.0014832765
HN,4.753214285714287,1696399.3,.000072643983
HR,5.810333333333333,2083996.4,.000035953679
HT,14.80428571428572,697549.69,.000048079612
HU,5.007142857142859,796214.63,5.0621138e-06
ID,4.644961240310085,1437893888,.0013577143
IE,.1752631578947367,154755248,.00035449155
IL,6.024545454545455,647280256,.0015721043
IN,4.813140495867769,2363655424,.00088365853
IQ,1.496499999999999,203874.34,1.1270077e-06
IS,3.01125,158921.83,7.3473034e-06
IT,2.791505681818181,1990200704,.0010433659
JM,10.03684210526316,7878.4902,5.7039165e-07
JO,4.413636363636365,2483235.3,.000056824108
JP,2.631700000000001,1155711360,.00022860082
KE,3.840263157894737,80961368,.00080432522
KG,8.135999999999999,3179450,.00038443407
KH,7.530816326530609,4786973.5,.0001374853
KR,8.663300970873784,1303596160,.00079279084
KW,1.61125,22623.148,2.0372869e-07
KZ,9.953235294117647,172744592,.001009716
LA,1.767142857142857,2826.4104,1.4890104e-07
LB,-7.160625,103710888,.0032703856
LC,4.66,9662.6104,6.4447636e-06
LK,6.169423076923078,172056.88,2.0409027e-06
LR,-6.436666666666667,1049698.6,.00033049649
LS,5.8725,168045.81,.000081825885
LT,10.73666666666667,195671440,.0034081952
LU,7.257692307692309,16218420,.00022006186
LV,-3.160000000000001,86313664,.0025857955
MA,-1.061363636363636,26050.18,2.1466334e-07
MD,6.143636363636364,93852624,.0081393365
MG,28.81333333333333,1146977.8,.000087881308
MK,7.447142857142858,20433390,.0016530482
ML,8.420909090909092,1262350.4,.000072277238
MM,6.23625,1437175.5,.000018190687
MN,1.178888888888889,545549.25,.000040978743
MO,14.53375,12768.41,5.0381351e-07
MT,.1900000000000001,345294.19,.000021072616
MU,.7458823529411764,1283432.6,.00011250181
MW,26.14857142857143,1183186.1,.00010053145
MX,4.588486055776892,536834688,.00047886145
MY,6.31790322580645,134736016,.00039926969
MZ,4.835882352941177,520026.66,.000036530473
NA,12.6675,8384390,.00079219474
NE,3.341428571428571,2192.6399,1.5952675e-07
NG,11.52681818181818,5645733,.000013062812
NI,.493333333333333,4177211.5,.00032939232
NL,5.51525,558637184,.00059903564
NO,6.120071428571427,123167872,.00033502904
NP,9.419605263157894,408071.94,.000012205423
NZ,10.745,222881568,.0010478804
PA,3.749024390243902,227770.19,3.9917772e-06
PE,-.2478260869565219,83595200,.00041505054
PG,23.48,107170.26,4.4938042e-06
PH,3.690571428571429,65123640,.00018002331
PK,6.324999999999999,17708806,.000058945727
PL,3.178120300751881,389948992,.00064357126
PT,1.779292035398229,19526802,.00008504009
PY,10.6564,8285737,.00023384781
QA,4.293636363636364,20785.43,1.4393210e-07
RO,.6116000000000004,35449340,.00014065312
RS,1.708695652173913,180503.33,3.2305413e-06
RU,7.325176470588234,239264336,.00016024928
RW,5.861538461538462,9374459,.0009213782
SA,8.004347826086954,6463073,8.8020242e-06
SC,-5.583333333333333,300.44162,2.1730949e-07
SE,5.331836734693875,435061696,.00079806219
SG,6.149090909090909,968562624,.0027713729
SI,6.509230769230768,101520536,.0019016763
SK,5.160000000000001,6169227,.000057264253
SL,20.29,614460.63,.000091866925
SN,7.537894736842105,4760217,.00019405289
SR,8.983333333333333,17205.84,5.9089894e-06
SV,6.536285714285714,3370717,.00013525506
SY,36.88999999999999,5325.0967,4.4199919e-07
SZ,9.529999999999999,44131.461,.000010748679
TG,13.1025,1335887.1,.00018051836
TH,8.134666666666666,12243971,.00002446534
TJ,6.682222222222221,5127765.5,.00063041411
TN,7.262857142857143,136927.44,3.2224452e-06
TR,9.333134328358208,30773568,.000042720982
TT,3.979000000000001,5237.2876,2.5169930e-07
TW,7.695172413793103,46862464,
TZ,-2.0088,103229128,.0015624504
UA,8.1910447761194,400793408,.0025590553
UG,5.758571428571429,116321792,.0030936345
US,5.8917127071823,75644239872,.0035423746
UY,8.944117647058825,43454524,.00080968189
VE,7.518076923076922,495657.41,
VN,10.21946153846154,123503488,.0003563124
VU,3.21,55941.02,.000061512786
YE,17.02125,1053613.8,
ZA,4.477777777777778,24835556,.000073483483
ZM,2.899,297692384,.016412849
ZW,9.209999999999999,260931.02,9.7116135e-06
