year,ctrycode,lending,cap_raising,altfin
2015,AD,,.001472,.001472
2016,AD,,.00288211564302,.0028821158
2013,AE,,.1,.1
2014,AE,.5,16.64957341674694,17.149574
2015,AE,6.85,11.5852497935403,18.435249
2016,AE,12.461856,13.69652240935,26.158379
2017,AE,25.85919,6.5725307625,32.431721
2018,AE,44.099154,6.548659651408,50.647812
2019,AE,81.44424958709089,9.39998170938318,90.844231
2020,AE,68.13192487153501,.8632372185339899,68.995171
2017,AF,,.0021646884,.0021646884
2018,AF,,.1844789577,.18447895
2020,AF,,.0212571571755,.021257157
2015,AL,,.004765491873,.0047654915
2016,AL,,.0345106092482491,.034510609
2017,AL,2.111705597641225,.0215865884435864,2.133292
2018,AL,17.90016980065,.01157034,17.911739
2019,AL,79.62850773177259,.00346406960587,79.631966
2020,AL,60.77281035281941,.01582557173,60.788635
2015,AM,,.270962559917,.27096257
2016,AM,,.47793155713878,.47793156
2017,AM,2.422392515300034,.0717235364483798,2.4941161
2018,AM,184.01324388545,.01879365192,184.03204
2019,AM,468.8689432060421,.06922675149744,468.93814
2020,AM,128.94494809,.0438401,128.98878
2014,AO,,.00376,.00376
2015,AO,,.0144794547734494,.014479456
2017,AO,,.014715,.014715
2019,AO,,.00397789627059,.0039778962
2013,AR,.8,1.370116,2.1701159
2014,AR,1.7,1.064136,2.7641361
2015,AR,8.199999999999999,1.354516,9.5545158
2016,AR,11.3925,1.189970784290759,12.582471
2017,AR,26.79736534,3.081707191700001,29.879074
2018,AR,123.733476560231,5.467027256750001,129.2005
2019,AR,45.66480276168008,12.74574498493148,58.410549
2020,AR,72.54839080044,12.876716345781,85.42511
2013,AT,,.47540305965,.90040368
2014,AT,,3.321325,4.2247257
2015,AT,2.220121999999989,11.39605241386787,13.616174
2016,AT,5.53323,18.35719438080357,23.890425
2017,AT,10.96103916231,18.65082166003567,37.192589
2018,AT,12.0642661,27.27384466475,39.338112
2019,AT,,22.13805299569776,22.138052
2020,AT,.0275110031323,52.63390473336645,52.661415
2013,AU,11.39625,14.65504911,26.0513
2014,AU,51.916,48.83796007999999,100.75396
2015,AU,272.78843875,100.5228173,373.31125
2016,AU,548.603427,60.99302497781027,609.5965
2017,AU,1089.171095,49.565555,1148.5156
2018,AU,979.841304391092,146.7047695159152,1126.546
2019,AU,1121.974528730068,89.79824506473315,1211.7728
2020,AU,1012.503815244045,149.5719203588707,1162.0758
2015,BA,,.0312604278209999,.031260427
2016,BA,,.0213456520355999,.021345653
2017,BA,,.0095127808253352,.0095127812
2018,BA,,.06912719075,.069127187
2019,BA,.0193464811584,.01240968796568,.031756166
2020,BA,.01971755015,.29125092036125,.31096846
2014,BB,,.015567,.015567
2015,BB,,.015198,.015198
2017,BB,,.021593,.021593001
2018,BB,,.00981289,.0098128896
2020,BB,,.01061522,.010615219
2017,BD,,.010272,.010272
2018,BD,.05,.33963579,.38963577
2019,BD,8.105,.02615147362847,8.1311512
2020,BD,3.586372,2.29639887738467,5.882771
2013,BE,.3984381,.7106143513500001,1.2468736
2014,BE,1.6606625,1.062824,3.0609663
2015,BE,31.65560953699999,9.124338430052985,40.779949
2016,BE,58.2371350854,4.092462807013432,62.329601
2017,BE,99.65064855,2.178204979781578,102.70452
2018,BE,44.4687005852,5.5053346345,49.974037
2019,BE,71.192402729235,3.260829246323679,74.453232
2020,BE,61.2652253169315,14.51384490099372,75.779076
2013,BF,.28725,.003233072460065,.29048306
2014,BF,.49565,.0357909650207802,.53144091
2015,BF,.811325,.0987921799328168,.91011721
2016,BF,1.008275,.0345760712124523,1.0428511
2017,BF,1.040775,.068982,1.1097569
2018,BF,.7448,.00060137,.74540138
