year,ctrycode,resid_roe,resid_int
2015,AD,,
2016,AD,,
2021,AD,,
2013,AE,-7.7676067,17.669905
2014,AE,-6.94098,16.6677
2015,AE,-7.9544663,15.731282
2016,AE,-10.955508,9.0582838
2017,AE,-11.386192,10.795153
2018,AE,-13.382443,12.580607
2019,AE,-16.404705,10.866199
2020,AE,-17.614925,8.6407967
2021,AE,,
2017,AF,-5.9186449,-47.075439
2018,AF,-6.2142186,-47.26273
2020,AF,-8.5982056,-50.002243
2021,AF,,
2015,AL,-10.22974,-9.0684814
2016,AL,-13.355412,-13.567312
2017,AL,-6.7281809,-13.252747
2018,AL,-10.899882,-12.392203
2019,AL,-2.9733565,-11.115396
2020,AL,-3.3021908,-10.10288
2021,AL,-4.8361392,-5.8454828
2015,AM,-9.1867838,-5.2637825
2016,AM,-7.2351708,-8.5514994
2017,AM,-5.0536952,-8.5771599
2018,AM,-4.0078278,-8.7367973
2019,AM,-3.4012315,-11.584019
2020,AM,-4.8310742,-5.4492435
2021,AM,-4.3436155,-4.5150237
2014,AO,-16.39332,-36.277058
2015,AO,-12.735569,-37.994034
2017,AO,-2.75894,-40.188663
2019,AO,8.6279249,-38.414841
2021,AO,-6.7172856,-38.782112
2013,AR,,
2014,AR,,
2015,AR,,
2016,AR,,
2017,AR,,
2018,AR,,
2019,AR,,
2020,AR,,
2021,AR,,
2013,AT,-.63145781,9.5354671
2014,AT,-.37716439,9.5276747
2015,AT,.026526976,8.3786993
2016,AT,1.5716835,3.4770823
2017,AT,.69523317,5.4039617
2018,AT,.61348391,3.2100508
2019,AT,1.7492369,1.5057052
2020,AT,1.6733775,-2.4967706
2021,AT,.22517936,-.60754704
2013,AU,-10.503316,3.3473189
2014,AU,-9.8497601,2.5875442
2015,AU,-6.6130729,1.9399705
2016,AU,-6.9822383,-2.5818925
2017,AU,-7.9603519,-4.9556093
2018,AU,-9.0311394,-3.1850328
2019,AU,-8.0543413,-1.2182535
2020,AU,-7.8599353,-2.0658514
2021,AU,-5.0270333,-3.7016835
2015,BA,-6.3440924,-6.9403338
2016,BA,-6.4876528,-7.0815105
2017,BA,-5.8659229,-5.1908684
2018,BA,-7.5570316,-1.0874243
2019,BA,-5.4334521,-3.9118662
2020,BA,-7.0958142,-1.0934787
2021,BA,-5.4299936,-1.5044148
2014,BB,,
2015,BB,,
2017,BB,,
2018,BB,,
2020,BB,,
2021,BB,,
2017,BD,-6.3985333,-41.237656
2018,BD,-7.937881,-38.441837
2019,BD,-9.1343765,-35.416046
2020,BD,-8.4925165,-31.912092
2021,BD,-8.6949654,-34.32711
2013,BE,-7.9518313,6.4231834
2014,BE,-5.6404495,8.7011232
2015,BE,-3.5862713,7.0089345
2016,BE,-5.4851947,2.0527525
2017,BE,-5.896584,1.9134837
2018,BE,-7.4573355,.90442199
2019,BE,-6.6446595,1.1854616
2020,BE,-4.2641506,-.7323916
2021,BE,-4.8472381,-1.8075626
2013,BF,-.0022975206,-59.590725
2014,BF,,
2015,BF,-9.4498158,-56.604675
2016,BF,-7.891881,-62.623257
2017,BF,-10.133109,-63.282631
2018,BF,-9.7586956,-63.799458
2019,BF,-3.2395482,-64.821617
2020,BF,,
2021,BF,,
2015,BG,-10.631232,-13.638264
2016,BG,-7.5207152,-18.845263
2017,BG,-9.5972033,-16.478537
2018,BG,-5.9195504,-17.843603
2019,BG,-7.1391964,-17.189117
2020,BG,-7.1819463,-15.091373
2021,BG,-7.6920762,-13.266643
2013,BH,-15.167402,17.545
2014,BH,-14.34818,16.478741
2015,BH,-13.083426,17.060965
2016,BH,,
2021,BH,,
2013,BI,,
2014,BI,,
2015,BI,,
2016,BI,,
2017,BI,,
2018,BI,-4.7869811,-64.894562
2020,BI,8.9345407,-64.747353
2021,BI,,
2013,BJ,,
2014,BJ,,
2015,BJ,-5.9924874,-50.592152
2016,BJ,-5.4134488,-53.779011
2017,BJ,-10.155529,-49.153355
2018,BJ,-23.52804,-54.717335
2019,BJ,-17.62331,-54.74548
2020,BJ,,
2021,BJ,,
2018,BM,,
2019,BM,,
2020,BM,,
2021,BM,,
2013,BO,-.40623641,-20.918106
2014,BO,-1.4159153,-23.450212
2015,BO,-2.2147961,-21.224857
2016,BO,-5.2004824,-25.165405
2017,BO,-5.9760041,-23.780027
2018,BO,-4.1742139,-25.158333
2019,BO,-5.678978,-22.657953
2020,BO,-8.3410816,-13.716711
2021,BO,-8.4069672,-9.1044168
2013,BR,-13.739865,-13.688338
2014,BR,4.7314649,-8.5132132
2015,BR,5.5092354,-7.3237891
2016,BR,3.5945673,-11.039943
2017,BR,3.5827165,-5.3544455
2018,BR,2.272264,-2.4947064
2019,BR,1.7601202,-3.5546646
2020,BR,3.0131574,2.7866557
2021,BR,2.9633069,-.90533739
2018,BS,-3.2298856,2.2860606
2019,BS,.18916842,9.1287689
2020,BS,-4.2051854,6.2970419
2021,BS,,
2017,BT,,
2018,BT,,
2019,BT,,
2020,BT,,
2021,BT,,
2013,BW,1.8825016,-41.518013
2014,BW,-2.2814517,-36.390636
2015,BW,,
2016,BW,-5.5085602,-38.770126
2017,BW,-11.36326,-34.21468
2018,BW,-6.4352107,-30.196726
2019,BW,-4.1058097,-24.879568
2020,BW,-5.3276854,-19.64361
2021,BW,-6.6991153,-12.175744
2015,BY,-2.4317319,4.3007622
2016,BY,-2.5986931,5.8633962
2017,BY,-3.5531087,7.1013551
2019,BY,-4.7012548,9.7383766
2020,BY,-4.617939,14.137768
2021,BY,-4.214118,11.434904
2014,BZ,,
2015,BZ,,
2016,BZ,,
2017,BZ,,
2018,BZ,-4.9719763,-19.984022
2019,BZ,-5.8539853,-16.750357
2020,BZ,,
2021,BZ,,
2013,CA,,
2014,CA,,
2015,CA,,
2016,CA,,
2017,CA,,
2018,CA,,
2019,CA,,
2020,CA,,
2021,CA,,
2013,CD,-4.5840454,-46.95504
2014,CD,-6.9173899,-48.247372
2015,CD,-10.860003,-49.652721
2016,CD,-20.890398,-49.803448
2017,CD,,
2018,CD,,
2019,CD,,
2020,CD,,
2021,CD,,
2019,CG,,
2020,CG,,
2021,CG,,
2013,CH,-12.368472,6.3210392
2014,CH,-12.806887,1.8029376
2015,CH,-12.166453,5.2651825
2016,CH,-11.827019,.17506751
2017,CH,,
2018,CH,,
2019,CH,,
2020,CH,,
2021,CH,,
2013,CI,-4.9369893,-47.69698
2014,CI,2.1257763,-48.287361
2015,CI,.071437992,-21.339672
2016,CI,-.10330578,-26.578449
2017,CI,-5.5455828,-24.830524
2018,CI,.99415243,-35.15255
2019,CI,-1.2460036,-38.319866
2020,CI,-4.8788419,-41.010998
2021,CI,-.11025839,-46.523232
2013,CL,-5.1210637,-20.030104
2014,CL,-2.5437489,-18.4422
2015,CL,-4.6651125,-1.0957619
2016,CL,-5.1087112,-1.1569682
2017,CL,-4.5735965,-4.3852677
2018,CL,-4.2433038,-3.0911751
2019,CL,-3.6560917,-5.1959648
2020,CL,-4.911253,-4.1396241
2021,CL,-4.2326035,-2.7967474
2013,CM,,
2014,CM,-5.3733807,-41.3909
2015,CM,-2.3991323,-39.583973
2016,CM,-.9960742,-45.674034
2017,CM,-5.2323909,-44.543842
2018,CM,-5.3072081,-38.896141
2019,CM,-3.9167051,-34.499187
2020,CM,,
2021,CM,,
2013,CN,-11.064522,-21.528822
2014,CN,-10.527702,-17.674314
2015,CN,-10.649002,-16.858404
2016,CN,-11.430683,-20.424009
2017,CN,-11.744148,-21.803923
2018,CN,-12.622127,-18.434179
2019,CN,-12.432909,-15.398123
2020,CN,-12.738419,-12.781175
2021,CN,-12.979447,-12.235506
2013,CO,,
2014,CO,,
2015,CO,-11.578579,-15.875288
2016,CO,-10.799842,-21.292204
2017,CO,-12.169288,-18.049133
2018,CO,-11.415709,-16.992685
2019,CO,-10.374489,-18.951628
2020,CO,-12.469729,-15.829
2021,CO,-9.3300009,-14.27754
2015,CR,-1.7078086,-10.851977
2016,CR,-2.0231659,-10.124022
2017,CR,-1.7379251,-5.8050427
2018,CR,-.47407317,-6.3613653
2019,CR,-1.8068035,-.76779747
2020,CR,-1.5649552,-3.2088079
2021,CR,-.022945933,-3.0098467
2013,CU,,
2014,CU,,
2015,CU,,
2016,CU,,
2017,CU,,
2018,CU,,
2020,CU,,
2021,CU,,
2014,CV,-8.1044855,-24.744171
2015,CV,-.034226932,-24.590704
2016,CV,-2.7530551,-22.316977
2017,CV,-5.2683229,-18.010248
2021,CV,1.677387,-15.719308
2013,CW,,
2014,CW,,
2015,CW,,
2017,CW,,
2018,CW,,
2020,CW,,
2021,CW,,
2014,CY,,
2015,CY,,
2016,CY,,
2017,CY,,
2018,CY,,
2019,CY,,
2020,CY,,
2021,CY,,
2013,CZ,-6.7869377,1.0241241
2014,CZ,-7.7622213,.31282797
2015,CZ,-6.8915296,-.044341285
2016,CZ,-6.1529045,-6.2513204
2017,CZ,-6.134789,-6.4043422
2018,CZ,-4.8722506,-6.6623158
2019,CZ,-5.9674678,-8.1182938
2020,CZ,-6.6744671,-10.216786
2021,CZ,-3.522562,-12.269741
2013,DE,-7.4715343,9.0388823
2014,DE,-7.208427,9.7292023
2015,DE,-6.9143958,9.0085316
2016,DE,-7.1594329,-1.2181565
